189 	| [104] 	| -2.799729161674242 	| -2.6638165497660267 	| -2.4811106805538525
190 	| [105] 	| -2.114606802505493 	| -2.020557842938584 	| -2.2861345905041266
191 	| [116] 	| -1.8986690565759763 	| -1.6547488023197527 	| -1.506623137359967
192 	| [102] 	| -2.01119450122087 	| -1.992345824190192 	| -1.8991823983932279
193 	| [103] 	| -1.7543438846655408 	| -2.0285449966323554 	| -2.212061014181009
194 	| [101] 	| -1.9260601611788017 	| -2.0129201387092968 	| -1.8833790801335413
195 	| [105] 	| -1.5763520041573416 	| -1.215032019688294 	| -1.067813478379616
196 	| [116] 	| -0.8029865244918539 	| -1.0809875395801842 	| -1.1462420784600562
197 	| [104] 	| -0.7761668268561777 	| -1.46883237240218 	| -1.4292279984434557
198 	| [103] 	| -2.5101171564270954 	| -2.209682871142094 	| -2.573937374831717
199 	| [102] 	| -1.8424613545965087 	| -1.3784702150512562 	| -1.3506336975876665
200 	| [101] 	| -1.143749605053558 	| -1.7122592444186373 	| -1.917294396301346
201 	| [105] 	| -1.651321518307896 	| -1.775419631663092 	| -1.7693868430166957
202 	| [104] 	| -1.793869390790333 	| -1.3106508831595334 	| -1.370465410355696
203 	| [116] 	| -1.3626165162627792 	| -1.450883839539397 	| -1.575360745603124
204 	| [102] 	| -1.967480883068042 	| -2.0923743617539725 	| -1.8909362811420831
205 	| [101] 	| -1.2043655788255543 	| -1.5199824697963025 	| -1.1956150634035012
206 	| [103] 	| -2.049864463729504 	| -1.9930385711996426 	| -2.386443710866738
207 	| [116] 	| -2.209659095957549 	| -1.7657542186671296 	| -2.158684472531587
208 	| [105] 	| 0.12460793241039525 	| -0.6178420071471755 	| -0.2648842730642016
209 	| [104] 	| -1.409280120029414 	| -1.7198727942100545 	| -1.5411347000453905
210 	| [103] 	| -3.4301368210848775 	| -3.0746616291363695 	| -3.729381108659589
211 	| [116] 	| -1.2631207135269684 	| -1.5002782916442579 	| -1.043784676354827
212 	| [101] 	| 0.04737734597544807 	| -0.45392963097061934 	| 0.04773636447302654
213 	| [105] 	| -2.825037253973508 	| -2.426960878608263 	| -2.763968880070804
214 	| [102] 	| -3.9330844154186324 	| -3.1013525216638875 	| -3.5867968453900994
215 	| [104] 	| -1.0529417459649442 	| -1.477495302777366 	| -1.067969797225281
216 	| [101] 	| -0.7027290409616098 	| -1.0814512764454054 	| -0.9196400005544765
217 	| [105] 	| -2.277315281154186 	| -1.6767062067909773 	| -1.921589421027382
218 	| [102] 	| -3.105060353124399 	| -2.90591631598996 	| -2.9504959453905877
219 	| [104] 	| -1.2253730250125736 	| -1.0850238117102793 	| -0.8570349532262911
220 	| [103] 	| -2.5602999809109113 	| -2.3359689130158245 	| -2.810129486977539
221 	| [116] 	| -0.18568969577352967 	| -0.3955902001284797 	| -0.2466382555427545
